#EXPORTTYPE:                 ,DATA ALL                                                      
#FILE:                       ,PYRO_MDF_30_900_N2_30Kmin_recal_02.ngb-ds3                    
#FORMAT:                     ,NETZSCH5                                                      
#FTYPE:                      ,ANSI                                                          
#IDENTITY:                   ,pyro_30_900_N2_30Kmin_02                                      
#DECIMAL:                    ,POINT                                                         
#SEPARATOR:                  ,COMMA                                                         
#MTYPE:                      ,DSC                                                           
#INSTRUMENT:                 ,NETZSCH STA 449F3                                             
#PROJECT:                    ,pyroboard                                                     
#DATE/TIME:                  ,19.02.2021 18:19:38 (UTC+1)                                   
#CORR. FILE:                 ,Correction for method PYROBOARD_30_900_N2_30Kmin_Recal_cooling
#TEMPCAL:                    ,06-01-2021 09:50                                              
#SENSITIVITY:                ,06-01-2021 10:22                                              
#LABORATORY:                 ,TUPO                                                          
#OPERATOR:                   ,LH                                                            
#REMARK:                     ,                                                              
#SAMPLE:                     ,pyro_30_900_N2_30Kmin_02                                      
#SAMPLE MASS /mg:            ,10.3487                                                       
#MATERIAL:                   ,MDF                                                           
#REFERENCE:                  ,-----                                                         
#REFERENCE MASS /mg:         ,0                                                             
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, open                                             
#SAMPLE CRUCIBLE MASS /mg:   ,132.8318                                                      
#REFERENCE CRUCIBLE MASS /mg:,136.50                                                        
#DSC RANGE /µV:              ,5000                                                          
#TG RANGE /mg:               ,35000                                                         
#TAU-R:                      ,---                                                           
#CORR. CODE:                 ,020                                                           
#EXO:                        ,-1                                                            
#RANGE:                      ,30°C/30.0(K/min)/900°C                                        
#SEGMENT:                    ,S2/4                                                          
#SEG. 2:                     ,30°C/30.0(K/min)/900°C                                        

##Temp./°C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),Sensit./(uV/mW)
 36.97600, 6.10000,      0.11770,100.05933,50.00000,20.00000,5.67883
 37.17600, 6.11000,      0.12062,100.07025,50.00000,20.00000,5.67806
 37.37700, 6.12000,      0.12356,100.06039,50.00000,20.00000,5.67727
 37.58500, 6.13000,      0.12658,100.04754,50.00000,20.00000,5.67646
 37.79300, 6.14000,      0.12963,100.06049,50.00000,20.00000,5.67565
 38.00600, 6.15000,      0.13260,100.07566,50.00000,20.00000,5.67482
 38.22100, 6.16000,      0.13571,100.06696,50.00000,20.00000,5.67398
 38.44000, 6.17000,      0.13905,100.05508,50.00000,20.00000,5.67313
 38.66100, 6.18000,      0.14233,100.06687,50.00000,20.00000,5.67227
 38.89000, 6.19000,      0.14538,100.07875,50.00000,20.00000,5.67138
 39.11800, 6.20000,      0.14862,100.06919,50.00000,20.00000,5.67049
 39.35300, 6.21000,      0.15176,100.05943,50.00000,20.00000,5.66957
 39.59000, 6.22000,      0.15506,100.07131,50.00000,20.00000,5.66864
 39.83000, 6.23000,      0.15850,100.08426,50.00000,20.00000,5.66771
 40.07100, 6.24000,      0.16178,100.07672,50.00000,20.00000,5.66677
 40.31600, 6.25000,      0.16504,100.06484,50.00000,20.00000,5.66581
 40.56400, 6.26000,      0.16827,100.07334,50.00000,20.00000,5.66484
 40.82000, 6.27000,      0.17178,100.08204,50.00000,20.00000,5.66384
 41.07500, 6.28000,      0.17515,100.07025,50.00000,20.00000,5.66284
 41.33400, 6.29000,      0.17854,100.05721,50.00000,20.00000,5.66183
 41.60000, 6.30000,      0.18208,100.06590,50.00000,20.00000,5.66079
 41.86400, 6.31000,      0.18564,100.07663,50.00000,20.00000,5.65976
 42.13300, 6.32000,      0.18907,100.07015,50.00000,20.00000,5.65870
 42.40400, 6.33000,      0.19246,100.06262,50.00000,20.00000,5.65764
 42.68200, 6.34000,      0.19607,100.07344,50.00000,20.00000,5.65655
 42.96200, 6.35000,      0.19953,100.08532,50.00000,20.00000,5.65546
 43.24100, 6.36000,      0.20303,100.07663,50.00000,20.00000,5.65436
 43.52700, 6.37000,      0.20671,100.06803,50.00000,20.00000,5.65324
 43.81600, 6.38000,      0.21036,100.07885,50.00000,20.00000,5.65211
 44.11000, 6.39000,      0.21389,100.09286,50.00000,20.00000,5.65096
 44.40500, 6.40000,      0.21743,100.08745,50.00000,20.00000,5.64980
 44.70200, 6.41000,      0.22099,100.08098,50.00000,20.00000,5.64863
 45.00400, 6.42000,      0.22460,100.09296,50.00000,20.00000,5.64745
 45.30700, 6.43000,      0.22826,100.10252,50.00000,20.00000,5.64626
 45.61300, 6.44000,      0.23188,100.09286,50.00000,20.00000,5.64506
 45.92400, 6.45000,      0.23549,100.08214,50.00000,20.00000,5.64384
 46.23900, 6.46000,      0.23916,100.08851,50.00000,20.00000,5.64260
 46.55700, 6.47000,      0.24290,100.09605,50.00000,20.00000,5.64135
 46.87800, 6.48000,      0.24642,100.08648,50.00000,20.00000,5.64009
 47.19900, 6.49000,      0.25016,100.07663,50.00000,20.00000,5.63882
 47.52500, 6.50000,      0.25395,100.08755,50.00000,20.00000,5.63754
 47.85500, 6.51000,      0.25767,100.09827,50.00000,20.00000,5.63624
 48.18500, 6.52000,      0.26135,100.08861,50.00000,20.00000,5.63494
 48.51800, 6.53000,      0.26497,100.07991,50.00000,20.00000,5.63363
 48.85900, 6.54000,      0.26857,100.08639,50.00000,20.00000,5.63229
 49.19600, 6.55000,      0.27226,100.09392,50.00000,20.00000,5.63096
 49.54200, 6.56000,      0.27603,100.08320,50.00000,20.00000,5.62959
 49.88700, 6.57000,      0.27971,100.07556,50.00000,20.00000,5.62823
 50.23500, 6.58000,      0.28332,100.08639,50.00000,20.00000,5.62686
 50.58500, 6.59000,      0.28706,100.10040,50.00000,20.00000,5.62548
 50.93700, 6.60000,      0.29078,100.09392,50.00000,20.00000,5.62409
 51.29500, 6.61000,      0.29461,100.08745,50.00000,20.00000,5.62268
 51.65700, 6.62000,      0.29828,100.09605,50.00000,20.00000,5.62125
 52.01700, 6.63000,      0.30199,100.10368,50.00000,20.00000,5.61982
 52.38300, 6.64000,      0.30574,100.09615,50.00000,20.00000,5.61838
 52.74900, 6.65000,      0.30946,100.08745,50.00000,20.00000,5.61693
 53.12100, 6.66000,      0.31322,100.09508,50.00000,20.00000,5.61546
 53.49300, 6.67000,      0.31705,100.10368,50.00000,20.00000,5.61399
 53.86700, 6.68000,      0.32080,100.09721,50.00000,20.00000,5.61251
 54.24500, 6.69000,      0.32442,100.08745,50.00000,20.00000,5.61101
 54.62800, 6.70000,      0.32810,100.09180,50.00000,20.00000,5.60949
 55.00700, 6.71000,      0.33181,100.09721,50.00000,20.00000,5.60799
 55.39300, 6.72000,      0.33546,100.08967,50.00000,20.00000,5.60646
 55.78000, 6.73000,      0.33920,100.07991,50.00000,20.00000,5.60493
 56.17000, 6.74000,      0.34303,100.08851,50.00000,20.00000,5.60338
 56.56100, 6.75000,      0.34666,100.10146,50.00000,20.00000,5.60183
 56.95600, 6.76000,      0.35022,100.09934,50.00000,20.00000,5.60026
 57.35300, 6.77000,      0.35385,100.09286,50.00000,20.00000,5.59868
 57.75300, 6.78000,      0.35736,100.09711,50.00000,20.00000,5.59709
 58.14900, 6.79000,      0.36097,100.10252,50.00000,20.00000,5.59552
 58.55300, 6.80000,      0.36456,100.09402,50.00000,20.00000,5.59391
 58.96000, 6.81000,      0.36831,100.08523,50.00000,20.00000,5.59230
 59.36600, 6.82000,      0.37192,100.08967,50.00000,20.00000,5.59068
 59.77500, 6.83000,      0.37529,100.09827,50.00000,20.00000,5.58905
 60.18800, 6.84000,      0.37866,100.09286,50.00000,20.00000,5.58741
 60.59900, 6.85000,      0.38222,100.08745,50.00000,20.00000,5.58577
 61.01300, 6.86000,      0.38572,100.09392,50.00000,20.00000,5.58412
 61.43500, 6.87000,      0.38898,100.09943,50.00000,20.00000,5.58244
 61.85300, 6.88000,      0.39218,100.09392,50.00000,20.00000,5.58078
 62.27500, 6.89000,      0.39542,100.08745,50.00000,20.00000,5.57909
 62.69500, 6.90000,      0.39862,100.09074,50.00000,20.00000,5.57742
 63.12100, 6.91000,      0.40206,100.09508,50.00000,20.00000,5.57572
 63.54800, 6.92000,      0.40505,100.08755,50.00000,20.00000,5.57401
 63.97800, 6.93000,      0.40813,100.07991,50.00000,20.00000,5.57230
 64.41000, 6.94000,      0.41138,100.08851,50.00000,20.00000,5.57057
 64.84000, 6.95000,      0.41452,100.08967,50.00000,20.00000,5.56885
 65.27300, 6.96000,      0.41754,100.08098,50.00000,20.00000,5.56712
 65.70700, 6.97000,      0.42058,100.08639,50.00000,20.00000,5.56538
 66.14500, 6.98000,      0.42346,100.07672,50.00000,20.00000,5.56363
 66.58600, 6.99000,      0.42647,100.07875,50.00000,20.00000,5.56187
 67.02600, 7.00000,      0.42931,100.08532,50.00000,20.00000,5.56011
 67.46800, 7.01000,      0.43205,100.07672,50.00000,20.00000,5.55834
 67.91000, 7.02000,      0.43497,100.08107,50.00000,20.00000,5.55656
 68.35500, 7.03000,      0.43791,100.07779,50.00000,20.00000,5.55478
 68.80200, 7.04000,      0.44075,100.08098,50.00000,20.00000,5.55299
 69.24900, 7.05000,      0.44351,100.08532,50.00000,20.00000,5.55120
 69.70200, 7.06000,      0.44635,100.07344,50.00000,20.00000,5.54938
 70.15000, 7.07000,      0.44932,100.07556,50.00000,20.00000,5.54758
 70.60000, 7.08000,      0.45203,100.06909,50.00000,20.00000,5.54577
 71.05500, 7.09000,      0.45486,100.07238,50.00000,20.00000,5.54395
 71.51000, 7.10000,      0.45772,100.07991,50.00000,20.00000,5.54212
 71.96700, 7.11000,      0.46059,100.06909,50.00000,20.00000,5.54028
 72.42000, 7.12000,      0.46321,100.06909,50.00000,20.00000,5.53846
 72.88100, 7.13000,      0.46597,100.05933,50.00000,20.00000,5.53661
 73.33800, 7.14000,      0.46886,100.06049,50.00000,20.00000,5.53477
 73.80000, 7.15000,      0.47190,100.06484,50.00000,20.00000,5.53291
 74.26100, 7.16000,      0.47467,100.05721,50.00000,20.00000,5.53105
 74.72300, 7.17000,      0.47756,100.06039,50.00000,20.00000,5.52919
 75.18500, 7.18000,      0.48049,100.05508,50.00000,20.00000,5.52733
 75.65300, 7.19000,      0.48308,100.05295,50.00000,20.00000,5.52544
 76.11800, 7.20000,      0.48594,100.05073,50.00000,20.00000,5.52357
 76.58400, 7.21000,      0.48893,100.04107,50.00000,20.00000,5.52169
 77.05100, 7.22000,      0.49179,100.04107,50.00000,20.00000,5.51980
 77.51800, 7.23000,      0.49467,100.03778,50.00000,20.00000,5.51792
 77.98900, 7.24000,      0.49750,100.03450,50.00000,20.00000,5.51602
 78.45800, 7.25000,      0.50046,100.03566,50.00000,20.00000,5.51412
 78.92900, 7.26000,      0.50330,100.02918,50.00000,20.00000,5.51222
 79.40000, 7.27000,      0.50627,100.02590,50.00000,20.00000,5.51032
 79.87300, 7.28000,      0.50931,100.02483,50.00000,20.00000,5.50841
 80.34600, 7.29000,      0.51236,100.00860,50.00000,20.00000,5.50649
 80.82100, 7.30000,      0.51530,100.01189,50.00000,20.00000,5.50457
 81.29500, 7.31000,      0.51836,100.00319,50.00000,20.00000,5.50265
 81.77000, 7.32000,      0.52135,100.00106,50.00000,20.00000,5.50073
 82.24700, 7.33000,      0.52438,100.00647,50.00000,20.00000,5.49880
 82.72200, 7.34000,      0.52753, 99.99787,50.00000,20.00000,5.49687
